ID,SMILES,IC50,pIC50,bioactivity,Target.ChEMBL.ID,Target.Name,Document.ChEMBL.ID,Assay.Description,Document.Journal,Document.Year,MW,LogP,nHA,nHD,TPSA,nHET,nRot,Aro
CHEMBL100063,CCCCCCCC[C@H](N[C@@H](CC)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O)C(=O)O,2.4,8.62,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,399.486,0.1811,9,3,127.25,9,13,0
CHEMBL100413,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O,1.7,8.77,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,453.493,-0.1397,9,3,127.25,9,10,2
CHEMBL100586,C[C@@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O,2400,5.62,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,453.493,-0.1397,9,3,127.25,9,10,2
CHEMBL100826,CC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O,2.3,8.64,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,467.52,0.3147,9,3,127.25,9,11,2
CHEMBL100966,CCCCCCCC[C@H](N[C@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O)C(=O)O,2400,5.62,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,385.459,-0.2733,9,3,127.25,9,12,0
CHEMBL101360,CCCCCCCC[C@H](N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O)C(=O)O,1.6,8.8,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,385.459,-0.2733,9,3,127.25,9,12,0
CHEMBL101409,C[C@H](N[C@@H](Cc1ccccc1)C(=O)O)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O,11,7.96,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,439.467,-0.5941,9,3,127.25,9,9,2
CHEMBL101469,CCCCCCCC[C@H](N[C@@H](C)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O)C(=O)O,1.5,8.82,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,461.557,1.1448,9,3,127.25,9,14,1
CHEMBL102044,C[C@H](N)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O,10000,5,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,Inhibitory activity on Angiotensin I converting enzyme (ACE) obtained from pig renal cortex and hippuryl-histidyl-leucine as substrate,J. Med. Chem.,1989,215.208,-3.6306,7,2,103.94,7,2,0
CHEMBL10247,O=C(O)CNC(=O)C(CS)Cc1ccccc1,316.23,6.5,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,253.321,0.832,4,2,105.2,5,6,1
CHEMBL10465,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)O)c1ccccc1,10,8,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,422.479,2.3994,7,2,103.78,7,9,2
CHEMBL10521,CC(CC(=O)C(Cc1ccccc1)NC(=O)C(CCCCN)NC(=O)C1CCC1)C(=O)N1CCCC1C(=O)O,3,8.52,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122914,Compound was evaluated for inhibition of porcine plasma Angiotensin I converting enzyme by using fluorometric assay,J. Med. Chem.,1985,542.674,-0.4111,10,4,158.9,10,15,1
CHEMBL105790,CC1(CS)C(=O)N2CCCC(C(=O)O)N2C1=O,3162.28,5.5,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,258.297,-2.051,6,1,116.72,7,2,0
CHEMBL105890,NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,3.981,8.4,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,405.493,-2.5468,8,4,132.96,8,12,1
CHEMBL105971,CC(NC(CCc1cccc2ccccc12)C(=O)O)C(=O)N1CCCC1C(=O)O,3.162,8.5,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,398.457,0.3357,7,3,106.94,7,8,2
CHEMBL106193,O=C(O)C1CCCN1C(=O)C1CCC1S,158.49,6.8,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,229.299,0.4091,4,1,96.41,5,2,0
CHEMBL10690,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1P(=O)(O)O)c1ccccc1,1.00E+05,4,b3-inactive,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1122915,Inhibitory activity against porcine plasma Angiotensin I converting enzyme,J. Med. Chem.,1985,458.449,0.3429,8,3,133.82,9,9,2
CHEMBL107635,O=C(O)CCc1cc(O)c2n(c1=O)C(C(=O)O)CC2,31.62,7.5,b2-intermediate,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,267.236,-0.6163,7,3,115.14,7,4,0
CHEMBL107700,CC(NC(=O)C1CCCCC1S)C(=O)N1CCCC1C(=O)O,10,8,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,328.432,0.5361,6,2,125.51,7,4,0
CHEMBL108606,CC(C)CCC(NC(C)C(=O)N1CCCC1C(=O)O)C(=O)O,7.943,8.1,b1-active,CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1130169,Inhibition of angiotensin I converting enzyme in silico,J. Med. Chem.,1997,314.38,-1.1735,7,3,106.94,7,8,0
