ID,SMILES,IC50,pIC50,bioactivity,bio_code,bio_code2,Target.ChEMBL.ID,Target.Name,Document.ChEMBL.ID,Assay.Description,Document.Journal,Document.Year,Molecular.Weight,AlogP
CHEMBL100063,CCCCCCCC[C@H](N[C@@H](CC)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O)C(=O)O,2.4,8.62,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,399.49,1.91
CHEMBL100413,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O,1.7,8.77,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,453.5,1.97
CHEMBL100586,C[C@@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O,2400,5.62,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1156603,Inhibition of ACE,Bioorg. Med. Chem. Lett.,2008,353.51,3.2
CHEMBL100826,CC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O,2.3,8.64,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,453.5,1.97
CHEMBL100966,CCCCCCCC[C@H](N[C@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O)C(=O)O,2400,5.62,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1156603,Inhibition of ACE,Bioorg. Med. Chem. Lett.,2008,395.59,4.18
CHEMBL101360,CCCCCCCC[C@H](N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O)C(=O)O,1.6,8.8,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,467.52,2.36
CHEMBL101409,C[C@H](N[C@@H](Cc1ccccc1)C(=O)O)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O,11,7.96,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,488.52,3.75
CHEMBL101469,CCCCCCCC[C@H](N[C@@H](C)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O)C(=O)O,1.5,8.82,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,385.46,1.52
CHEMBL102044,C[C@H](N)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O,10000,5,b3-inactive,2,"2,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1156603,Inhibition of ACE,Bioorg. Med. Chem. Lett.,2008,421.63,4.94
CHEMBL10247,O=C(O)CNC(=O)C(CS)Cc1ccccc1,316.23,6.5,b2-intermediate,1,"1,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1126767,Inhibitory activity against angiotensin converting enzyme (ACE),J. Med. Chem.,1993,530.6,4.25
CHEMBL10465,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)O)c1ccccc1,10,8,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,385.46,1.52
CHEMBL10521,CC(CC(=O)C(Cc1ccccc1)NC(=O)C(CCCCN)NC(=O)C1CCC1)C(=O)N1CCCC1C(=O)O,3,8.52,b1-active,0,"0,",CHEMBL1808,Angiotensin-converting enzyme,CHEMBL1124381,"Inhibition of Angiotensin I converting enzyme from pig renal cortex, hippuryl-histidyl-leucine as substrate",J. Med. Chem.,1989,439.47,1.58
